time mi_pulso
0.000000000000e+00 -0.000000000000e+00
1.538461538462e-11 -6.812356210197e-08
3.076923076923e-11 -4.572672729234e-07
4.615384615385e-11 -1.109603248949e-06
6.153846153846e-11 -1.469895849335e-06
7.692307692308e-11 -7.528906124311e-07
9.230769230769e-11 1.508213663805e-06
1.076923076923e-10 4.929409313229e-06
1.230769230769e-10 8.106198122450e-06
1.384615384615e-10 9.017264695261e-06
1.538461538462e-10 5.937462051641e-06
1.692307692308e-10 -1.496551706144e-06
1.846153846154e-10 -1.159015385422e-05
2.000000000000e-10 -2.072154447402e-05
2.153846153846e-10 -2.445453107100e-05
2.307692307692e-10 -1.935124646144e-05
2.461538461538e-10 -4.811780417649e-06
2.615384615385e-10 1.588987700574e-05
2.769230769231e-10 3.601744859577e-05
2.923076923077e-10 4.736887594796e-05
3.076923076923e-10 4.333648055665e-05
3.230769230769e-10 2.195730436352e-05
3.384615384615e-10 -1.231426234904e-05
3.538461538462e-10 -4.907810833261e-05
3.692307692308e-10 -7.492186190009e-05
3.846153846154e-10 -7.807618616996e-05
4.000000000000e-10 -5.324296393964e-05
4.153846153846e-10 -4.733335470750e-06
4.307692307692e-10 5.357171785385e-05
4.461538461538e-10 1.019127620662e-04
4.615384615385e-10 1.211300774172e-04
4.769230769231e-10 9.987386640363e-05
4.923076923077e-10 3.993056997016e-05
5.076923076923e-10 -4.258905736933e-05
5.230769230769e-10 -1.211937233445e-04
5.384615384615e-10 -1.672895119513e-04
5.538461538462e-10 -1.602840112481e-04
5.692307692308e-10 -9.602963895799e-05
5.846153846154e-10 9.680979386783e-06
6.000000000000e-10 1.244192138665e-04
6.153846153846e-10 2.088007519095e-04
6.307692307692e-10 2.297516160582e-04
6.461538461538e-10 1.729686293879e-04
6.615384615385e-10 5.001140208279e-05
6.769230769231e-10 -1.030737342402e-04
6.923076923077e-10 -2.359689165984e-04
7.076923076923e-10 -3.003809472854e-04
7.230769230769e-10 -2.672206991271e-04
7.384615384615e-10 -1.386590331115e-04
7.538461538462e-10 4.968651853875e-05
7.692307692308e-10 2.381144019607e-04
7.846153846154e-10 3.614953014194e-04
8.000000000000e-10 3.714857567345e-04
8.153846153846e-10 2.548125537591e-04
8.307692307692e-10 4.088649763451e-05
8.461538461538e-10 -2.048129165546e-04
8.615384615385e-10 -4.004456111412e-04
8.769230769231e-10 -4.748022406678e-04
8.923076923077e-10 -3.927627962288e-04
9.076923076923e-10 -1.702516722149e-04
9.230769230769e-10 1.273135313733e-04
9.384615384615e-10 4.037954934589e-04
9.538461538462e-10 5.631197121875e-04
9.692307692308e-10 5.423033154129e-04
9.846153846154e-10 3.354820261115e-04
1.000000000000e-09 -3.722422865087e-18
1.015384615385e-09 -3.588003334903e-04
1.030769230769e-09 -6.203291244368e-04
1.046153846154e-09 -6.889734892253e-04
1.061538461538e-09 -5.284738637080e-04
1.076923076923e-09 -1.782576758831e-04
1.092307692308e-09 2.550593039628e-04
1.107692307692e-09 6.297004669138e-04
1.123076923077e-09 8.148198962250e-04
1.138461538462e-09 7.357710474514e-04
1.153846153846e-09 4.030194353934e-04
1.169230769231e-09 -8.618897417645e-05
1.184615384615e-09 -5.756311694496e-04
1.200000000000e-09 -8.996657327528e-04
1.215384615385e-09 -9.389379342536e-04
1.230769230769e-09 -6.636073759067e-04
1.246153846154e-09 -1.486512490907e-04
1.261538461538e-09 4.455675097551e-04
1.276923076923e-09 9.228268723797e-04
1.292307692308e-09 1.115516895658e-03
1.307692307692e-09 9.429776810329e-04
1.323076923077e-09 4.435556457301e-04
1.338461538462e-09 -2.319294300266e-04
1.353846153846e-09 -8.651632179800e-04
1.369230769231e-09 -1.240553880070e-03
1.384615384615e-09 -1.218217620219e-03
1.400000000000e-09 -7.851527133077e-04
1.415384615385e-09 -6.614980976120e-05
1.430769230769e-09 7.113098374604e-04
1.446153846154e-09 1.288619798286e-03
1.461538461538e-09 1.461703343267e-03
1.476923076923e-09 1.152504067885e-03
1.492307692308e-09 4.414611742840e-04
1.507692307692e-09 -4.518983752217e-04
1.523076923077e-09 -1.236201327682e-03
1.538461538462e-09 -1.642896784538e-03
1.553846153846e-09 -1.517713719281e-03
1.569230769231e-09 -8.779130846789e-04
1.584615384615e-09 8.555915761960e-05
1.600000000000e-09 1.064286909605e-03
1.615384615385e-09 1.730699252964e-03
1.630769230769e-09 1.847285272764e-03
1.646153846154e-09 1.350428179310e-03
1.661538461538e-09 3.795089257884e-04
1.676923076923e-09 -7.609368997210e-04
1.692307692308e-09 -1.696220223915e-03
1.707692307692e-09 -2.104201843303e-03
1.723076923077e-09 -1.825645004891e-03
1.738461538462e-09 -9.245987103166e-04
1.753846153846e-09 3.236050292113e-04
1.769230769231e-09 1.515767656781e-03
1.784615384615e-09 2.250637115667e-03
1.800000000000e-09 2.263466563972e-03
1.815384615385e-09 1.520349742014e-03
1.830769230769e-09 2.390254487726e-04
1.846153846154e-09 -1.173825786367e-03
1.861538461538e-09 -2.251141375150e-03
1.876923076923e-09 -2.619429144447e-03
1.892307692308e-09 -2.127512023527e-03
1.907692307692e-09 -9.059116170911e-04
1.923076923077e-09 6.657620644910e-04
1.938461538462e-09 2.076089000514e-03
1.953846153846e-09 2.847792349233e-03
1.969230769231e-09 2.698667957417e-03
1.984615384615e-09 1.643411605096e-03
2.000000000000e-09 -1.346785244639e-17
2.015384615385e-09 -1.705129143077e-03
2.030769230769e-09 -2.905180398254e-03
2.046153846154e-09 -3.180887375941e-03
2.061538461538e-09 -2.406066678871e-03
2.076923076923e-09 -8.005890674271e-04
2.092307692308e-09 1.130353721264e-03
2.107692307692e-09 2.754541487809e-03
2.123076923077e-09 3.519211384080e-03
2.138461538462e-09 3.138465450666e-03
2.153846153846e-09 1.698284443606e-03
2.169230769231e-09 -3.588899557740e-04
2.184615384615e-09 -2.369141928443e-03
2.200000000000e-09 -3.660782984014e-03
2.215384615385e-09 -3.778170134824e-03
2.230769230769e-09 -2.641256139122e-03
2.246153846154e-09 -5.853594557679e-04
2.261538461538e-09 1.736279909301e-03
2.276923076923e-09 3.559372379130e-03
2.292307692308e-09 4.259598538582e-03
2.307692307692e-09 3.565523027061e-03
2.323076923077e-09 1.661066359153e-03
2.338461538462e-09 -8.603938949884e-04
2.353846153846e-09 -3.179988543462e-03
2.369230769231e-09 -4.518670183024e-03
2.384615384615e-09 -4.398118461108e-03
2.400000000000e-09 -2.810094312966e-03
2.415384615385e-09 -2.347447983833e-04
2.430769230769e-09 2.503231455653e-03
2.446153846154e-09 4.497947292173e-03
2.461538461538e-09 5.061359101187e-03
2.476923076923e-09 3.959480327552e-03
2.492307692308e-09 1.505026177395e-03
2.507692307692e-09 -1.529025545008e-03
2.523076923077e-09 -4.151937870797e-03
2.538461538462e-09 -5.478019347373e-03
2.553846153846e-09 -5.024785198567e-03
2.569230769231e-09 -2.886390206612e-03
2.584615384615e-09 2.793870479957e-04
2.600000000000e-09 3.452184520597e-03
2.615384615385e-09 5.577127814859e-03
2.630769230769e-09 5.914715339724e-03
2.646153846154e-09 4.296733879289e-03
2.661538461538e-09 1.200083033825e-03
2.676923076923e-09 -2.391743648498e-03
2.692307692308e-09 -5.300030659785e-03
2.707692307692e-09 -6.536817258469e-03
2.723076923077e-09 -5.639361362710e-03
2.738461538462e-09 -2.840223994425e-03
2.753846153846e-09 9.886683384803e-04
2.769230769231e-09 4.606315575333e-03
2.784615384615e-09 6.803950960053e-03
2.800000000000e-09 6.807893302780e-03
2.815384615385e-09 4.550014881124e-03
2.830769230769e-09 7.118544707122e-04
2.846153846154e-09 -3.479165020958e-03
2.861538461538e-09 -6.641168068764e-03
2.876923076923e-09 -7.692441031759e-03
2.892307692308e-09 -6.219999942277e-03
2.907692307692e-09 -2.636996674085e-03
2.923076923077e-09 1.929711202010e-03
2.938461538462e-09 5.992561136115e-03
2.953846153846e-09 8.186747284940e-03
2.969230769231e-09 7.727375918620e-03
2.984615384615e-09 4.687605775913e-03
3.000000000000e-09 -2.551386587881e-17
3.015384615385e-09 -4.827618106998e-03
3.030769230769e-09 -8.195905082108e-03
3.046153846154e-09 -8.942558109682e-03
3.061538461538e-09 -6.741430292076e-03
3.076923076923e-09 -2.235764177474e-03
3.092307692308e-09 3.146614241607e-03
3.107692307692e-09 7.644198073558e-03
3.123076923077e-09 9.736928482648e-03
3.138461538462e-09 8.658215659929e-03
3.153846153846e-09 4.671928656632e-03
3.169230769231e-09 -9.846049561823e-04
3.184615384615e-09 -6.482565164642e-03
3.200000000000e-09 -9.991369231470e-03
3.215384615385e-09 -1.028650496100e-02
3.230769230769e-09 -7.174179613404e-03
3.246153846154e-09 -1.586353147693e-03
3.261538461538e-09 4.695184287158e-03
3.276923076923e-09 9.605107203083e-03
3.292307692308e-09 1.147185513365e-02
3.307692307692e-09 9.584398005106e-03
3.323076923077e-09 4.457031808037e-03
3.338461538462e-09 -2.304697482206e-03
3.353846153846e-09 -8.504345513245e-03
3.369230769231e-09 -1.206606876301e-02
3.384615384615e-09 -1.172743918133e-02
3.400000000000e-09 -7.483070356554e-03
3.415384615385e-09 -6.243374725453e-04
3.430769230769e-09 6.650143998582e-03
3.446153846154e-09 1.193695271242e-02
3.461538461538e-09 1.341955570754e-02
3.476923076923e-09 1.048924516021e-02
3.492307692308e-09 3.984086469707e-03
3.507692307692e-09 -4.045033582164e-03
